ActivityType,Role,Organization,URL,Location,StartDate,EndDate,YearByFreq
Service,COSIAC Committee Member,Linguistic Society of America,http://www.linguisticsociety.org/about/who-we-are/committees/student-issues-concerns,"Washington, DC",07/2015,present,
Service,Organizing Committee Member,Mayfest 2020 – 2020 Hindsight,http://ling.umd.edu/mayfest/2020/,"University of Maryland, College Park, MD",2019,,
Service,Organizing Committee Member,Mayfest 2019 – WSCLA,http://ling.umd.edu/mayfest/2019/wscla/,"University of Maryland, College Park, MD",,05/2019,
Service,Co-Chair,ECO-5,https://sites.google.com/view/eco-5,"University of Maryland, College Park, MD",,02/2019,
Service,Organizing Committee Member,Mayfest 2018,http://ling.umd.edu/mayfest/2018/,"University of Maryland, College Park, MD",,05/2018,
Service,Organizing Committee Member,MidPhon 21,https://www.msu.edu/~lingorg/midphon21/,"Michigan State University, East Lansing, MI",,09/2016,
Service,President,qUALMS,https://sites.google.com/site/msuqualms,"Michigan State University, East Lansing, MI",08/2012,05/2014,
Service,"Chair ('13 \& '14), Vice Chair ('11 \& '12)",GLEEFUL,https://sites.google.com/site/msuqualms/conferences/gleeful,"Michigan State University, East Lansing, MI",,"04/2011, 04/2012, 04/2013, 04/2014",
Service,"Vice Chair ('13 \& '14), Chair ('11 \& '12)",MSULC,https://sites.google.com/site/msuqualms/conferences/msulc,"Michigan State University, East Lansing, MI",,"04/2011, 04/2012, 04/2013, 04/2014",
Manuscript Reviewer,,Language Acquisition,https://www.tandfonline.com/toc/hlac20/current,,,,2020
Conference Abstract Reviewer,,GLEEFUL,https://sites.google.com/site/msuqualms/conferences/gleeful,"Michigan State University, East Lansing, MI",,,"2015, 2016, 2017"
Editorial Board,Assistant Editorial Board Member,Stance,http://stancephilosophy.com/,"Ball State University, Munice, IN",2012,2014,
Editorial Board,Student Editorial Board Member,ReCUR,https://www.recur.msu.edu/,"Michigan State University, East Lansing, MI",,2013,
Professional Affiliations,Member,Linguistic Society of America,https://www.linguisticsociety.org/,,2012,present,
