Type,Name,Granter,Location,StartDate,EndDate
Funded Awards \& Fellowships,Research Assistantship,Michigan State University,"East Lansing, MI",08/2014,05/2015
Funded Awards \& Fellowships,Board of Trustees Award,Michigan State University,"East Lansing, MI",,05/2014
Funded Awards \& Fellowships,University Distinguished Scholarship,"Honors College, Michigan State University","East Lansing, MI",08/2010,05/2014
Funded Awards \& Fellowships,National Merit Scholar,Michigan State University,"East Lansing, MI",08/2010,05/2014
Funded Awards \& Fellowships,Undergraduate Research Initiative -- Grantee,"College of Arts and Letters, Michigan State University","East Lansing, MI",10/2013,05/2014
Funded Awards \& Fellowships,2013 Linguistic Institute Fellowship,"Linguistic Society of America, University of Michigan","Ann Arbor, MI",06/2013,07/2013
Funded Awards \& Fellowships,Genevieve Gillette Fellowship,"Honors College, Michigan State University","East Lansing, MI",05/2013,08/2013
Funded Awards \& Fellowships,Undergraduate Research Initiative -- Grantee,"College of Arts and Letters, Michigan State University","East Lansing, MI",10/2012,05/2013
Funded Awards \& Fellowships,Professorial Assistantship,"Honors College, Michigan State University","East Lansing, MI",08/2010,05/2012
Honors,Outstanding Graduating Senior in LGSAAL,"Department of Linguistics and Languages, Michigan State University","East Lansing, MI",,05/2015
Presentation Awards,"Award Winner, Poster Presentation","\Colorhref{https://www.msu.edu/~qualms/msulc.html}{MSULC}, Michigan State University","East Lansing, MI",,04/2014
Presentation Awards,Category Winner (with C. Heffner),"\Colorhref{http://urca.msu.edu/uuraf}{UURAF}, Michigan State University","East Lansing, MI",,04/2012
Presentation Awards,"Award Winner, Poster Presentation (with C. Heffner)","\Colorhref{https://www.msu.edu/~qualms/msulc.html}{MSULC}, Michigan State University","East Lansing, MI",,04/2012
